symbol,name,price,marketcap,year,industry,description,linkToSmth,smthing,keywords,enhanced_description
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.77,$46.6M,2019.0,Finance,Banks,https://old.nasdaq.com/symbol/bcow,,"interest rates, regulators, loans, liquidity, earnings, capital adequacy, mergers, fintech, digital banking, credit risk","Banks interest rates, regulators, loans, liquidity, earnings, capital adequacy, mergers, fintech, digital banking, credit risk"
ONEM,"1Life Healthcare, Inc.",50.31,$6.69B,2020.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/onem,,"home health, patient outcomes, nurse staffing, regulatory compliance, Medicare, accreditation, infection control, telehealth, electronic health records, data privacy","Medical/Nursing Services home health, patient outcomes, nurse staffing, regulatory compliance, Medicare, accreditation, infection control, telehealth, electronic health records, data privacy"
FCCY,1st Constitution Bancorp (NJ),15.46,$158.28M,,Finance,Savings Institutions,https://old.nasdaq.com/symbol/fccy,,"deposits, interest rates, loans, regulation, fdic, earnings, mergers, digital banking, mortgage rates, liquidity","Savings Institutions deposits, interest rates, loans, regulation, fdic, earnings, mergers, digital banking, mortgage rates, liquidity"
SRCE,1st Source Corporation,42.78,$1.09B,,Finance,Major Banks,https://old.nasdaq.com/symbol/srce,,"earnings, interest rates, regulation, capital adequacy, liquidity, loan losses, mergers, acquisitions, Basel III, fintech","Major Banks earnings, interest rates, regulation, capital adequacy, liquidity, loan losses, mergers, acquisitions, Basel III, fintech"
VNET,"21Vianet Group, Inc.",41.17,$5.47B,2011.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/vnet,,"software, programming, data processing, cloud, artificial intelligence, machine learning, cybersecurity, analytics, partnerships, acquisitions","Computer Software: Programming, Data Processing software, programming, data processing, cloud, artificial intelligence, machine learning, cybersecurity, analytics, partnerships, acquisitions"
ADERU,26 Capital Acquisition Corp.,10.7,,2021.0,Finance,Business Services,https://old.nasdaq.com/symbol/aderu,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
TWOU,"2U, Inc.",43.97,$3.17B,2014.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/twou,,"acquisition, revenue, licensing, cloud, on-premises, AI, security, update, merger, partnership","Computer Software: Prepackaged Software acquisition, revenue, licensing, cloud, on-premises, AI, security, update, merger, partnership"
QFIN,"360 DigiTech, Inc.",15.99,$2.43B,2018.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/qfin,,"earnings, revenue, guidance, loans, credit cards, fintech, acquisitions, regulation, dividends, market share","Finance: Consumer Services earnings, revenue, guidance, loans, credit cards, fintech, acquisitions, regulation, dividends, market share"
KRKR,36Kr Holdings Inc.,5.3,$198.72M,2019.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/krkr,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
FDMT,"4D Molecular Therapeutics, Inc.",47.42,$1.26B,2020.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/fdmt,,"FDA approval, clinical trials, monoclonal antibodies, gene therapy, cell therapy, manufacturing scale-up, bioprocessing, partnerships, licensing, patent","Biotechnology: Biological Products (No Diagnostic Substances) FDA approval, clinical trials, monoclonal antibodies, gene therapy, cell therapy, manufacturing scale-up, bioprocessing, partnerships, licensing, patent"
FVAM,5:01 Acquisition Corp.,10.63,$116.09M,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/fvam,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
JOBS,"51job, Inc.",68.88,$4.64B,2004.0,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/jobs,,"earnings, revenue, acquisitions, contracts, leadership, strategy, market, expansion, regulatory, governance","Diversified Commercial Services earnings, revenue, acquisitions, contracts, leadership, strategy, market, expansion, regulatory, governance"
VIIAU,7GC & Co. Holdings Inc.,10.57,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/viiau,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
ENFAU,"890 5th Avenue Partners, Inc.",10.4,,2021.0,Finance,Business Services,https://old.nasdaq.com/symbol/enfau,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
ETNB,"89bio, Inc.",20.73,$412.09M,2019.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/etnb,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
EGHT,8x8 Inc,37.5,$3.99B,,Technology,EDP Services,https://old.nasdaq.com/symbol/eght,,"energy, electricity, renewables, EDP, Portugal, investments, acquisitions, partnerships, earnings, regulators","EDP Services energy, electricity, renewables, EDP, Portugal, investments, acquisitions, partnerships, earnings, regulators"
NMTR,"9 Meters Biopharma, Inc.",1.25,$254.25M,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nmtr,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
MASS,908 Devices Inc.,65.45,$1.71B,2020.0,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/mass,,"automation, robotics, CNC, machining, transmission, gearboxes, bearings, integration, maintenance, efficiency","Industrial Machinery/Components automation, robotics, CNC, machining, transmission, gearboxes, bearings, integration, maintenance, efficiency"
JFU,9F Inc.,1.52,$296.69M,2019.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/jfu,,"earnings, revenue, guidance, loans, credit cards, fintech, acquisitions, regulation, dividends, market share","Finance: Consumer Services earnings, revenue, guidance, loans, credit cards, fintech, acquisitions, regulation, dividends, market share"
AAON,"AAON, Inc.",72.74,$3.8B,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aaon,,"automation, robotics, CNC, machining, transmission, gearboxes, bearings, integration, maintenance, efficiency","Industrial Machinery/Components automation, robotics, CNC, machining, transmission, gearboxes, bearings, integration, maintenance, efficiency"
ABCM,Abcam plc,23.59,$5.35B,2020.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/abcm,,"FDA approval, clinical trials, monoclonal antibodies, gene therapy, cell therapy, manufacturing scale-up, bioprocessing, partnerships, licensing, patent","Biotechnology: Biological Products (No Diagnostic Substances) FDA approval, clinical trials, monoclonal antibodies, gene therapy, cell therapy, manufacturing scale-up, bioprocessing, partnerships, licensing, patent"
ABCL,AbCellera Biologics Inc.,50.5,$13.59B,2020.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abcl,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
ABEO,Abeona Therapeutics Inc.,2.12,$208.88M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abeo,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
ABMD,"ABIOMED, Inc.",347.9,$15.72B,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/abmd,,"dental instruments, medical devices, sterilization, fda clearance, regulatory approval, implants, surgical tools, robotics, infection control, market growth","Medical/Dental Instruments dental instruments, medical devices, sterilization, fda clearance, regulatory approval, implants, surgical tools, robotics, infection control, market growth"
AXAS,Abraxas Petroleum Corporation,2.69,$22.61M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/axas,,"oil, gas, production, drilling, offshore, onshore, exploration, refinery, pipeline, regulation","Oil & Gas Production oil, gas, production, drilling, offshore, onshore, exploration, refinery, pipeline, regulation"
ABST,Absolute Software Corporation,13.29,$648.26M,2020.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/abst,,"acquisition, revenue, licensing, cloud, on-premises, AI, security, update, merger, partnership","Computer Software: Prepackaged Software acquisition, revenue, licensing, cloud, on-premises, AI, security, update, merger, partnership"
ACIU,AC Immune SA,6.33,$454.12M,2016.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aciu,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
ACIA,"Acacia Communications, Inc.",114.48,$4.85B,2016.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/acia,,"semiconductors, foundry, wafers, revenue, supply chain, AI chips, process node, lithography, capital expenditure, mergers","Semiconductors semiconductors, foundry, wafers, revenue, supply chain, AI chips, process node, lithography, capital expenditure, mergers"
ACTG,Acacia Research Corporation,5.74,$282.86M,,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/actg,,"conglomerate, diversification, acquisitions, subsidiaries, revenue, earnings, governance, regulation, expansion, portfolio","Multi-Sector Companies conglomerate, diversification, acquisitions, subsidiaries, revenue, earnings, governance, regulation, expansion, portfolio"
ASO,"Academy Sports and Outdoors, Inc.",22.46,$2.02B,2020.0,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/aso,,"retailer, earnings, expansion, margins, acquisitions, franchises, store-openings, online-sales, supply-chain, consumer","Other Specialty Stores retailer, earnings, expansion, margins, acquisitions, franchises, store-openings, online-sales, supply-chain, consumer"
ACHC,"Acadia Healthcare Company, Inc.",52.01,$4.63B,,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/achc,,"cardiology, oncology, neurology, pediatrics, dermatology, gastroenterology, orthopedics, radiology, urology, endocrinology","Medical Specialities cardiology, oncology, neurology, pediatrics, dermatology, gastroenterology, orthopedics, radiology, urology, endocrinology"
ACAD,ACADIA Pharmaceuticals Inc.,52.83,$8.4B,1985.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acad,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
ACST,"Acasti Pharma, Inc.",0.8,$77.51M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acst,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
AXDX,"Accelerate Diagnostics, Inc.",8.78,$500.72M,,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/axdx,,"biotechnology, analytical instruments, mass spectrometry, chromatography, LC-MS, automation, data analytics, regulatory approval, funding, partnerships","Biotechnology: Laboratory Analytical Instruments biotechnology, analytical instruments, mass spectrometry, chromatography, LC-MS, automation, data analytics, regulatory approval, funding, partnerships"
XLRN,Acceleron Pharma Inc.,124.61,$7.51B,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/xlrn,,"FDA approval, clinical trials, monoclonal antibodies, gene therapy, cell therapy, manufacturing scale-up, bioprocessing, partnerships, licensing, patent","Biotechnology: Biological Products (No Diagnostic Substances) FDA approval, clinical trials, monoclonal antibodies, gene therapy, cell therapy, manufacturing scale-up, bioprocessing, partnerships, licensing, patent"
ACCD,"Accolade, Inc.",59.09,$3.27B,2020.0,,,https://old.nasdaq.com/symbol/accd,,, 
ARAY,Accuray Incorporated,5.11,$466.41M,2007.0,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/aray,,"dental instruments, medical devices, sterilization, fda clearance, regulatory approval, implants, surgical tools, robotics, infection control, market growth","Medical/Dental Instruments dental instruments, medical devices, sterilization, fda clearance, regulatory approval, implants, surgical tools, robotics, infection control, market growth"
ACEV,ACE Convergence Acquisition Corp.,11.19,$321.71M,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/acev,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
ACEVU,ACE Convergence Acquisition Corp.,12.51,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/acevu,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
ACEVW,ACE Convergence Acquisition Corp.,2.65,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/acevw,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
ACRX,"AcelRx Pharmaceuticals, Inc.",1.91,$172.81M,2011.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrx,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
ACER,Acer Therapeutics Inc.,3.67,$51.08M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acer,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
ACHV,"Achieve Life Sciences, Inc. ",11.78,$71.74M,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/achv,,"biotechnology, diagnostics, in vitro, in vivo, biomarkers, assays, clinical trials, regulatory, FDA, partnerships","Biotechnology: In Vitro & In Vivo Diagnostic Substances biotechnology, diagnostics, in vitro, in vivo, biomarkers, assays, clinical trials, regulatory, FDA, partnerships"
ACIW,"ACI Worldwide, Inc.",40.3,$4.71B,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/aciw,,"acquisition, revenue, licensing, cloud, on-premises, AI, security, update, merger, partnership","Computer Software: Prepackaged Software acquisition, revenue, licensing, cloud, on-premises, AI, security, update, merger, partnership"
ACAC,Acies Acquisition Corp.,11.15,$300M,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/acac,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
ACACU,Acies Acquisition Corp.,11.76,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/acacu,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
ACACW,Acies Acquisition Corp.,2.24,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/acacw,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
ACKIU,Ackrell SPAC Partners I Co. ,10.47,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/ackiu,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
ACRS,"Aclaris Therapeutics, Inc.",18.22,$781.99M,2015.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrs,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
ACMR,"ACM Research, Inc.",97.6,$1.8B,2017.0,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acmr,,"automation, robotics, CNC, machining, transmission, gearboxes, bearings, integration, maintenance, efficiency","Industrial Machinery/Components automation, robotics, CNC, machining, transmission, gearboxes, bearings, integration, maintenance, efficiency"
ACNB,ACNB Corporation,27.17,$236.47M,,Finance,Major Banks,https://old.nasdaq.com/symbol/acnb,,"earnings, interest rates, regulation, capital adequacy, liquidity, loan losses, mergers, acquisitions, Basel III, fintech","Major Banks earnings, interest rates, regulation, capital adequacy, liquidity, loan losses, mergers, acquisitions, Basel III, fintech"
STWO,ACON S2 Acquisition Corp.,10.68,$333.75M,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/stwo,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
STWOU,ACON S2 Acquisition Corp.,11.49,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/stwou,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
STWOW,ACON S2 Acquisition Corp.,2.11,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/stwow,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
ACOR,"Acorda Therapeutics, Inc.",7.6,$72.07M,2006.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/acor,,"FDA approval, clinical trials, monoclonal antibodies, gene therapy, cell therapy, manufacturing scale-up, bioprocessing, partnerships, licensing, patent","Biotechnology: Biological Products (No Diagnostic Substances) FDA approval, clinical trials, monoclonal antibodies, gene therapy, cell therapy, manufacturing scale-up, bioprocessing, partnerships, licensing, patent"
ATVI,"Activision Blizzard, Inc",94.43,$72.98B,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/atvi,,"acquisition, revenue, licensing, cloud, on-premises, AI, security, update, merger, partnership","Computer Software: Prepackaged Software acquisition, revenue, licensing, cloud, on-premises, AI, security, update, merger, partnership"
AFIB,"Acutus Medical, Inc.",25.95,$722.61M,2020.0,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/afib,,"dental instruments, medical devices, sterilization, fda clearance, regulatory approval, implants, surgical tools, robotics, infection control, market growth","Medical/Dental Instruments dental instruments, medical devices, sterilization, fda clearance, regulatory approval, implants, surgical tools, robotics, infection control, market growth"
ADMS,"Adamas Pharmaceuticals, Inc.",4.72,$134.62M,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adms,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
ADMP,Adamis Pharmaceuticals Corporation,1.79,$167.65M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/admp,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
AHCO,AdaptHealth Corp. ,38.0,$3.68B,2018.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/ahco,,"home health, patient outcomes, nurse staffing, regulatory compliance, Medicare, accreditation, infection control, telehealth, electronic health records, data privacy","Medical/Nursing Services home health, patient outcomes, nurse staffing, regulatory compliance, Medicare, accreditation, infection control, telehealth, electronic health records, data privacy"
ADAP,Adaptimmune Therapeutics plc,5.6,$866.76M,2015.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adap,,"FDA approval, clinical trials, monoclonal antibodies, gene therapy, cell therapy, manufacturing scale-up, bioprocessing, partnerships, licensing, patent","Biotechnology: Biological Products (No Diagnostic Substances) FDA approval, clinical trials, monoclonal antibodies, gene therapy, cell therapy, manufacturing scale-up, bioprocessing, partnerships, licensing, patent"
ADPT,Adaptive Biotechnologies Corporation,67.74,$9.26B,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adpt,,"FDA approval, clinical trials, monoclonal antibodies, gene therapy, cell therapy, manufacturing scale-up, bioprocessing, partnerships, licensing, patent","Biotechnology: Biological Products (No Diagnostic Substances) FDA approval, clinical trials, monoclonal antibodies, gene therapy, cell therapy, manufacturing scale-up, bioprocessing, partnerships, licensing, patent"
ADXN,Addex Therapeutics Ltd,12.12,$68.31M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adxn,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
ADUS,Addus HomeCare Corporation,127.8,$2.02B,2009.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/adus,,"home health, patient outcomes, nurse staffing, regulatory compliance, Medicare, accreditation, infection control, telehealth, electronic health records, data privacy","Medical/Nursing Services home health, patient outcomes, nurse staffing, regulatory compliance, Medicare, accreditation, infection control, telehealth, electronic health records, data privacy"
AEY,"ADDvantage Technologies Group, Inc.",3.04,$36.58M,,Consumer Services,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/aey,,"acquisitions, mergers, supply chain, sustainability, printers, copiers, contracts, e-commerce, logistics, revenue","Office Equipment/Supplies/Services acquisitions, mergers, supply chain, sustainability, printers, copiers, contracts, e-commerce, logistics, revenue"
ADIL,"Adial Pharmaceuticals, Inc",2.22,$31.95M,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adil,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
ADILW,"Adial Pharmaceuticals, Inc",2.23,,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adilw,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
ACET,"Adicet Bio, Inc.",14.54,$284.84M,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acet,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
ADTX,"ADiTx Therapeutics, Inc.",3.6,$44.21M,2020.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adtx,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
